name,ingredients,diet,flavor_profile,course
Boondi,"Gram flour, ghee, sugar",vegetarian,sweet,dessert
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,sweet,dessert
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,sweet,dessert
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,sweet,dessert
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,sweet,dessert
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,sweet,dessert
Kalakand,"Milk, cottage cheese, sugar",vegetarian,sweet,dessert
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,sweet,dessert
Laddu,"Gram flour, ghee, sugar",vegetarian,sweet,dessert
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,sweet,dessert
Sheera,"Semolina, ghee, nuts, milk",vegetarian,sweet,dessert
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,sweet,dessert
Misti doi,"Milk, jaggery",vegetarian,sweet,dessert
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,sweet,dessert
Rasgulla,"Chhena, sugar, cardamom",vegetarian,sweet,dessert
Chikki,"Peanuts, jaggery",vegetarian,sweet,dessert
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,sweet,dessert
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,sweet,dessert
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,sweet,main course
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,sweet,dessert
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,sweet,dessert
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,spicy,main course
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,spicy,main course
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,spicy,main course
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,bitter,main course
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,spicy,main course
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,spicy,main course
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,spicy,main course
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,spicy,main course
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,-1,main course
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,spicy,main course
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,spicy,starter
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,spicy,main course
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,spicy,main course
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,spicy,main course
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,sweet,main course
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,spicy,main course
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,spicy,main course
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,spicy,snack
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,spicy,snack
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,spicy,main course
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",vegetarian,spicy,main course
Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",vegetarian,sweet,dessert
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",vegetarian,spicy,main course
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,spicy,main course
Naan,"Whole wheat flour, honey, butter, garlic",vegetarian,-1,main course
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,spicy,main course
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,spicy,main course
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,spicy,main course
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",vegetarian,spicy,snack
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,spicy,snack
Paratha,"Wheat flour, butter, potato, coriander",vegetarian,spicy,main course
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,spicy,main course
Samosa,"Potatoes, green peas, garam masala, ginger, dough",vegetarian,spicy,snack
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",vegetarian,spicy,main course
Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",non vegetarian,spicy,main course
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,spicy,starter
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,spicy,main course
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,spicy,snack
Idiappam,"Rice flour, hot water, grated coconut",vegetarian,spicy,snack
Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,spicy,snack
Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",non vegetarian,spicy,main course
Kootu,"Chana dal, urad dal, potato, beans, peas",vegetarian,spicy,main course
Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,spicy,main course
Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,spicy,snack
Payasam,"Rice, cashew nuts, milk, raisins, sugar",vegetarian,sweet,dessert
Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,spicy,main course
Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,spicy,main course
Sandige,"Thin rice flakes, black sesame seeds, curry leaves",vegetarian,-1,main course
Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper",vegetarian,spicy,snack
Upma,"Chana dal, urad dal, ginger, curry leaves, sugar",vegetarian,spicy,snack
Chakali,"Rice flour, sesame, plain flour, turmeric, red chilli",vegetarian,spicy,snack
Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",vegetarian,-1,main course
Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,-1,snack
Dhokla,"Rava, coconut, gram flour, mustard, sesame",vegetarian,spicy,snack
Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",vegetarian,spicy,main course
Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves",vegetarian,spicy,main course
Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",vegetarian,spicy,snack
Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",non vegetarian,-1,main course
Brown Rice,"Brown rice, soy sauce, olive oil",vegetarian,-1,main course
Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",non vegetarian,spicy,main course
Red Rice,"Red pepper, red onion, butter, watercress, olive oil",vegetarian,-1,main course
Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",vegetarian,sweet,dessert
Chicken Tikka 0,"Rice, peas, beans, carrot, spices",vegetarian,-1,main course
Paneer Burger 1,"Paneer, onion, tomato, garam masala, cream",vegetarian,spicy,starter
Sweet Corn Soup 2,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,bitter,dessert
Chicken Biryani 3,"Wheat flour, sugar, jaggery, coconut",vegetarian,bitter,starter
Egg Fried Rice 4,"Rice, peas, beans, carrot, spices",vegetarian,sweet,starter
